Marcaj de timp,Melodia 1 ,Melodia 2 ,Melodia 3 ,Melodia 4 ,Melodia 5,Melodia 6 ,Melodia 7 ,Melodia 8 
4/9/2022 18:41:52,5,5,6,3,9,2,7,10
4/12/2022 17:36:52,7,6,9,8,8,7,5,10
4/12/2022 23:08:06,2,2,7,8,7,5,4,9
4/13/2022 12:49:00,9,4,7,8,6,4,1,10
4/13/2022 14:16:51,5,2,7,6,7,7,6,9
4/13/2022 17:09:15,7,2,8,3,6,3,3,7
4/13/2022 21:15:18,6,5,9,6,6,4,3,7
4/17/2022 23:13:43,7,5,7,4,7,7,6,8
4/18/2022 17:42:34,6,4,9,2,8,1,4,9
4/19/2022 20:52:06,5,4,7,5,3,4,4,10
4/19/2022 20:52:07,3,4,6,4,4,3,6,9
4/20/2022 0:36:46,4,2,10,1,10,1,2,9
4/20/2022 15:48:43,7,6,9,8,9,3,2,10
1/17/2023 12:57:42,1,2,3,4,5,6,7,8
1/17/2023 13:00:19,3,1,5,1,4,1,1,10
1/17/2023 13:03:16,7,5,6,6,8,4,3,9
1/17/2023 13:03:25,6,2,5,5,6,3,4,8
1/17/2023 13:06:26,5,3,9,6,7,6,7,10
1/17/2023 13:28:36,4,4,8,7,7,6,4,9
1/17/2023 14:04:02,6,3,8,8,9,8,7,5
1/17/2023 15:11:16,8,4,10,7,8,6,7,9
1/17/2023 15:24:12,4,4,6,5,4,6,8,9
1/17/2023 15:37:01,7,5,8,3,3,1,5,8
1/17/2023 17:50:51,5,1,7,4,6,4,5,9
1/17/2023 18:43:28,5,4,7,6,6,4,2,10
1/17/2023 19:29:32,8,7,10,9,10,7,8,10
1/18/2023 0:11:56,7,8,4,5,3,9,6,8
1/18/2023 0:29:04,7,5,7,7,7,6,8,8
1/18/2023 1:16:43,5,4,7,4,6,3,4,9
1/18/2023 1:17:33,6,4,8,6,8,4,6,9
